strategy,trades,win_rate,pf,pnl,max_dd,days_over_500,rr,adx_filter,rsi_filter
MACD+Stochastic,45,48.888888888888886,1.2723203138011803,302.4068625313854,4.827540108817021,0,1.2,15,"(25, 75)"
MACD+Stochastic,45,42.22222222222222,1.2512201944773573,313.36865288869313,4.405888611929884,0,1.5,15,"(25, 75)"
MACD+Stochastic,38,47.368421052631575,1.2013071538106148,195.0475027901768,4.3002915573120735,0,1.2,25,"(25, 75)"
CCI,337,37.98219584569733,1.1985315546892488,2271.7146835327244,12.589741565159398,0,1.8,25,"(35, 65)"
CCI,288,30.90277777777778,1.188845136100601,2076.2441948482247,15.021609633309454,0,2.5,25,"(35, 65)"
MACD+Stochastic,41,46.34146341463415,1.1831373065212858,197.7548773629283,4.845304412841858,0,1.2,20,"(25, 75)"
MACD + Zero Line,150,30.666666666666664,1.1566266256114253,863.716229030069,7.296412876674154,0,2.5,25,"(25, 75)"
CCI,405,34.5679012345679,1.1544833439656064,2221.4078113011137,12.926448931012821,0,2.0,25,"(30, 70)"
CCI,419,36.754176610978526,1.1477244113930152,2135.977682386124,11.060087291172628,0,1.8,25,"(30, 70)"
MACD+Stochastic,41,39.02439024390244,1.1437366504469029,174.88750730240946,5.066981465475988,0,1.5,20,"(25, 75)"
CCI,325,34.46153846153846,1.14217775299376,1645.007261548753,11.68380840846472,0,2.0,25,"(35, 65)"
MACD+Stochastic,38,39.473684210526315,1.1300180448528545,143.7751456669277,4.521968609946203,0,1.5,25,"(25, 75)"
MACD + Zero Line,156,35.256410256410255,1.127649521197186,678.7154633658245,7.545556313650999,0,2.0,25,"(25, 75)"
CCI,465,34.193548387096776,1.1245478260245074,2066.8426077706836,13.61944394792819,0,2.0,20,"(30, 70)"
CCI,507,34.319526627218934,1.1230473512941066,2198.3220291137955,14.976499230521,0,2.0,15,"(30, 70)"
MACD + Zero Line,149,34.899328859060404,1.1221278243911614,619.930245535706,8.719020489283977,0,2.0,25,"(30, 70)"
CCI,475,36.63157894736842,1.121682266892003,1993.3343909127525,14.770166424342532,0,1.8,25,"(25, 75)"
MACD + Zero Line,117,34.18803418803419,1.1171049289631143,471.4561271667402,7.198118591308635,0,2.0,25,"(35, 65)"
