pair,dir,pnl,result
EURGBP,BUY,-100.0,LOSS
EURGBP,SELL,-99.0,LOSS
EURGBP,SELL,-98.00999999999999,LOSS
EURGBP,BUY,-97.02990000000001,LOSS
EURGBP,SELL,-96.059601,LOSS
EURGBP,BUY,-95.09900499,LOSS
EURGBP,BUY,-94.1480149401,LOSS
EURGBP,SELL,-93.20653479069901,LOSS
EURGBP,BUY,-92.27446944279201,LOSS
EURGBP,SELL,-91.35172474836409,LOSS
EURGBP,SELL,-90.43820750088045,LOSS
EURGBP,BUY,161.1608857665624,WIN
EURGBP,BUY,164.0617817103616,WIN
EURGBP,BUY,167.01489378115554,WIN
EURGBP,BUY,-94.45620103845246,LOSS
EURGBP,BUY,-93.51163902806793,LOSS
EURGBP,SELL,-92.57652263778726,LOSS
EURGBP,SELL,-91.65075741140937,LOSS
EURGBP,BUY,163.32164970712574,WIN
EURGBP,BUY,166.26143940185582,WIN
EURGBP,BUY,-94.03008072838512,LOSS
EURGBP,BUY,-93.08977992110125,LOSS
EURGBP,SELL,-92.15888212189024,LOSS
EURGBP,SELL,-91.23729330067134,LOSS
EURGBP,BUY,162.584856661803,WIN
EURGBP,BUY,-91.95076893428265,LOSS
EURGBP,BUY,163.85627024089013,WIN
EURGBP,BUY,-92.66982394734873,LOSS
EURGBP,SELL,-91.74312570787525,LOSS
EURGBP,BUY,-90.82569445079649,LOSS
EURGBP,BUY,161.85138751131592,WIN
EURGBP,BUY,-91.5359513814017,LOSS
EURGBP,BUY,163.1170653616578,WIN
EURGBP,BUY,-92.25176252120426,LOSS
EURGBP,BUY,-91.32924489599222,LOSS
EURGBP,BUY,-90.41595244703228,LOSS
EURGBP,SELL,-89.51179292256197,LOSS
EURGBP,SELL,159.51001498800542,WIN
EURGBP,SELL,-90.2117751432164,LOSS
EURGBP,SELL,160.75738330521318,WIN
EURGBP,SELL,163.651016204717,WIN
EURGBP,SELL,166.5967344963888,WIN
EURGBP,SELL,169.59547571732062,WIN
EURGBP,SELL,-95.91566348902063,LOSS
