pair,dir,pnl,result,exit_type,confluence
EURGBP,BUY,-100.0,LOSS,SL,75.0
EURGBP,BUY,148.49999999999997,WIN,TP,65.0
EURGBP,BUY,150.7275,WIN,TP,100.0
EURJPY,SELL,-100.0,LOSS,SL,85.0
EURJPY,SELL,148.50000000000256,WIN,TP,85.0
EURJPY,BUY,150.72750000000437,WIN,TP,85.0
EURJPY,SELL,-101.99227500000008,LOSS,SL,85.0
EURJPY,SELL,-100.97235225000006,LOSS,SL,75.0
EURJPY,SELL,-99.96262872750005,LOSS,SL,55.0
EURJPY,SELL,-98.96300244022505,LOSS,SL,100.0
EURJPY,BUY,146.9600586237342,WIN,TP,75.0
EURJPY,SELL,219.87303551536496,WIN,SL,70.0
EURJPY,BUY,152.46255503582069,WIN,TP,85.0
EURJPY,BUY,154.74949336135802,WIN,TP,90.0
EURJPY,SELL,-104.71382384118559,LOSS,SL,85.0
EURJPY,BUY,155.50002840415794,WIN,TP,85.0
EURJPY,BUY,-105.22168588681531,LOSS,SL,85.0
EURJPY,SELL,6.81559242401874,WIN,SL,85.0
EURJPY,SELL,3.4609756442772777,WIN,SL,85.0
EURJPY,BUY,156.40835206294514,WIN,TP,85.0
EURJPY,BUY,158.7544773438893,WIN,TP,65.0
EURJPY,BUY,-107.42386300269843,LOSS,SL,85.0
EURJPY,BUY,-106.34962437267146,LOSS,SL,50.0
EURJPY,SELL,-105.28612812894475,LOSS,SL,85.0
EURJPY,SELL,156.34990027148532,WIN,TP,85.0
EURJPY,SELL,-105.79676585037016,LOSS,SL,75.0
EURJPY,SELL,-104.73879819186647,LOSS,SL,85.0
EURJPY,BUY,2.3760901569719275,WIN,SL,85.0
EURJPY,SELL,3.160339429418148,WIN,SL,95.0
EURJPY,SELL,-103.74677450581169,LOSS,SL,75.0
EURJPY,SELL,-102.70930676075358,LOSS,SL,75.0
EURJPY,BUY,-101.68221369314602,LOSS,SL,80.0
EURJPY,SELL,150.998087334319,WIN,TP,75.0
EURJPY,SELL,153.26305864433667,WIN,TP,85.0
EURJPY,BUY,-103.70800301600116,LOSS,SL,75.0
EURJPY,SELL,-102.67092298584112,LOSS,SL,65.0
EURJPY,SELL,-101.64421375598273,LOSS,SL,60.0
EURJPY,BUY,-100.62777161842291,LOSS,SL,85.0
EURJPY,SELL,149.432240853358,WIN,TP,80.0
EURJPY,SELL,151.67372446615838,WIN,TP,65.0
EURJPY,BUY,153.9488303331537,WIN,TP,85.0
EURJPY,BUY,156.25806278814804,WIN,TP,55.0
EURJPY,BUY,158.60193372997028,WIN,TP,75.0
EURJPY,BUY,-107.32064182394656,LOSS,SL,75.0
EURJPY,SELL,159.37115310856333,WIN,TP,85.0
EURJPY,BUY,101.1216581908252,WIN,SL,85.0
EURJPY,SELL,110.40628048803686,WIN,SL,85.0
EURJPY,BUY,-109.95642632358135,LOSS,SL,85.0
EURJPY,BUY,-108.85686206034553,LOSS,SL,85.0
EURJPY,SELL,161.65244015961312,WIN,TP,70.0
EURJPY,SELL,-109.3848178413382,LOSS,SL,85.0
EURJPY,BUY,-108.29096966292481,LOSS,SL,55.0
EURJPY,SELL,138.6449569102796,WIN,SL,80.0
EURJPY,BUY,-108.59450953539836,LOSS,SL,85.0
EURJPY,SELL,-107.50856444004438,LOSS,SL,85.0
EURJPY,SELL,159.65021819346893,WIN,TP,85.0
EURJPY,BUY,-108.02998097757862,LOSS,SL,75.0
EURJPY,SELL,160.42452175170425,WIN,TP,55.0
EURJPY,SELL,-108.55392638531987,LOSS,SL,65.0
EURJPY,SELL,-107.46838712146666,LOSS,SL,85.0
EURJPY,SELL,-106.39370325025199,LOSS,SL,85.0
EURJPY,BUY,157.99464932662033,WIN,TP,85.0
EURJPY,BUY,-106.90971271101566,LOSS,SL,85.0
EURJPY,SELL,-105.84061558390549,LOSS,SL,75.0
EURJPY,SELL,-104.78220942806644,LOSS,SL,75.0
EURJPY,BUY,95.73637140850924,WIN,SL,90.0
EURJPY,SELL,-104.69175104787087,LOSS,SL,85.0
EURJPY,BUY,4.835523012634405,WIN,SL,65.0
EURJPY,BUY,155.5397831512802,WIN,TP,85.0
EURJPY,SELL,-105.2485865990313,LOSS,SL,85.0
EURJPY,SELL,156.29415109956446,WIN,TP,45.0
EURJPY,BUY,-105.75904224403664,LOSS,SL,65.0
EURJPY,SELL,4.949201486459189,WIN,SL,50.0
EURJPY,SELL,5.7936062556245735,WIN,SL,60.0
EURJPY,BUY,-104.80887989901709,LOSS,SL,85.0
EURJPY,SELL,3.9160179130334973,WIN,SL,75.0
EURJPY,SELL,-103.79995127915726,LOSS,SL,60.0
EURJPY,BUY,-102.76195176636567,LOSS,SL,75.0
EURJPY,SELL,-101.73433224870202,LOSS,SL,65.0
EURJPY,BUY,-100.71698892621498,LOSS,SL,65.0
EURJPY,SELL,-99.70981903695285,LOSS,SL,65.0
EURJPY,BUY,-98.71272084658334,LOSS,SL,85.0
EURJPY,SELL,3.445149112731072,WIN,SL,75.0
EURJPY,BUY,-97.76004512924482,LOSS,SL,85.0
EURJPY,BUY,-96.78244467795236,LOSS,SL,75.0
EURJPY,BUY,143.72193034675928,WIN,TP,85.0
EURJPY,SELL,-97.25183953464042,LOSS,SL,85.0
EURJPY,BUY,-96.27932113929403,LOSS,SL,70.0
EURJPY,SELL,-95.31652792790108,LOSS,SL,85.0
EURJPY,BUY,3.4572213726900873,WIN,SL,85.0
EURJPY,BUY,-94.39793486234896,LOSS,SL,85.0
EURJPY,SELL,-93.45395551372548,LOSS,SL,70.0
EURJPY,BUY,-92.51941595858821,LOSS,SL,85.0
EURJPY,BUY,137.3913326985035,WIN,TP,85.0
EURJPY,SELL,-92.96813512598737,LOSS,SL,85.0
